"Factor","Mean_Academic","SD_Academic","Mean_Professional","SD_Professional","Cohens_d","t_value","p_value"
"PerfExp",3.4837962962963,1.0558657574932,3.45602605863192,1.09687070006089,0.0257098993656839,0.291426338681787,0.770852867034611
"EffortExp",3.80787037037037,0.922021591762439,3.52931596091205,0.998751109600096,0.287814919693594,3.28623010301765,0.0010890377283281
"SocialInf",2.99537037037037,0.974071699692203,3.29967426710098,1.07166410121778,-0.29472266217831,-3.37416544497511,0.000799324407904512
"FacilCond",3.41435185185185,0.94417555831889,3.30293159609121,1.04291472145169,0.111048633303162,1.27222689945899,0.203896845527079
"HedonicMot",3.16898148148148,1.13830182764426,3.42182410423453,1.12984436793611,-0.223094698473015,-2.5088220369565,0.0124557274616871
"PriceValue",3.41666666666667,1.15537168085869,3.43648208469055,1.08466946359996,-0.0177814074489954,-0.198032523273787,0.843110195071923
"Habit",3.13888888888889,1.25999876953305,2.93811074918567,1.24305141133581,0.160613146525292,1.80426832347974,0.0718445939884809
"AITrust",3.17824074074074,1.08881786009966,3.25244299674267,1.18705664961158,-0.0646622303975001,-0.73912890898542,0.460185474458159
