"Predictor","Beta_Academic","p_Academic","Beta_Professional","p_Professional"
"PerfExp",-0.184478064239081,0.368072092501606,0.0824839844798504,0.571680984357708
"EffortExp",0.0732982659244348,0.269775435478951,-0.0549910436730258,0.507674051735858
"SocialInf",0.00651758504959867,0.933200331502428,0.240075307305931,0.0778348692075645
"FacilCond",-0.0155450902006739,0.834448194243903,0.140985966110183,0.194076681663187
"HedonicMot",0.44916619231267,0.000776534945373664,-0.303952937787154,0.381094671777557
"PriceValue",0.63764344602983,0.00324362442817705,0.811901361807253,0.0394621303813762
"Habit",0.0754092706035319,0.334625799449215,-0.0651192852539907,0.508499441307712
"AITrust",-0.0111214331384451,0.928245744658328,0.152902541030268,0.0478393973905447
