"Model","chi2","df","CFI","RMSEA","SRMR","Delta_CFI","Supported"
"Configural",303.036415581953,152,0.979092114967607,0.0616429188230675,0.0243404203746958,NA,TRUE
"Metric",329.237978318696,160,0.976572482999096,0.0635994084803551,0.0385094292600681,0.00251963196851168,TRUE
"Scalar",381.306703663544,168,0.970472074435479,0.0696805812480573,0.0403745925069875,0.00610040856361704,TRUE
