"Model","Paths","chi2","df","CFI","TLI","RMSEA","AIC","BIC","chi2_df"
"Parsimonious (4 sig)",4,242.775160298791,88,0.979946812362529,0.969008710014818,0.0579907133027961,20449.3058913803,20726.1786865445,2.75880863975899
"Full AIRS (8 predictors)",8,241.582299398253,84,0.97958311002827,0.966944082902914,0.0598912295590103,20456.1130304798,20750.0241515002,2.87597975474111
"UTAUT2-Only (7 predictors)",7,244.627999997423,85,0.97931806221384,0.966908899542144,0.059923093965176,20457.1587310789,20746.8102706354,2.87797647055792
"Hedonic-Value (4 predictors)",4,254.322736452011,88,0.978450669758564,0.966696489626872,0.0601151078138237,20460.8534675335,20737.7262626977,2.89003109604558
"UTAUT Core (4 predictors)",4,282.738629354873,88,0.974769011596057,0.961006654284816,0.0650479889028804,20489.2693604364,20766.1421556006,3.21293896994174
