"Factor","Item","Loading_Std","SE","z","p"
"PerfExp","PE1",0.843644633289275,0.0225394262676721,37.4297297220604,0
"PerfExp","PE2",0.866499118152271,0.0209274642188692,41.4048787320823,0
"EffortExp","EE1",0.886872142958712,0.0270829137987572,32.7465556161616,0
"EffortExp","EE2",0.835621160166883,0.0290690724083779,28.7460552035383,0
"SocialInf","SI1",0.897024573666707,0.030264427991034,29.6395680741911,0
"SocialInf","SI2",0.696460063566899,0.0384703387892742,18.1038193446084,0
"FacilCond","FC1",0.754451461557509,0.0334855400514178,22.5306642926777,0
"FacilCond","FC2",0.840701625036582,0.0289616086346974,29.0281398260932,0
"HedonicMot","HM1",0.821199102804566,0.0238015581179451,34.5019052423054,0
"HedonicMot","HM2",0.924398808853926,0.0168567235522158,54.8385815304192,0
"PriceValue","PV1",0.858854784386761,0.0208698662881767,41.1528647346114,0
"PriceValue","PV2",0.87504174585831,0.0197149506506767,44.3846784789327,0
"Habit","HB1",0.921303003481788,0.0184858524176545,49.8382753830664,0
"Habit","HB2",0.852809041241685,0.0224212212879436,38.0357978849376,0
"AITrust","TR1",0.903988803078661,0.0173832574201429,52.0034180723322,0
"AITrust","TR2",0.927711402494494,0.016056244940439,57.7788521497934,0
