"Outcome","Predictor","Beta_Std","SE","z","p","Hypothesis","Support","Sig"
"BehIntent","PerfExp",-0.0277639594908092,0.105468007823484,-0.263245320204364,0.792361501764715,"H1a","Not Supported","ns"
"BehIntent","EffortExp",-0.00782229137374044,0.0490475762952886,-0.159483749546496,0.873287760435556,"H1b","Not Supported","ns"
"BehIntent","SocialInf",0.135509390356028,0.0594223654418618,2.28044422917848,0.0225813549523501,"H1c","Supported","*"
"BehIntent","FacilCond",0.0587345481457105,0.06127428747521,0.958551303749929,0.337784834346068,"H1d","Not Supported","ns"
"BehIntent","HedonicMot",0.216726886619233,0.0874721818369626,2.47766640854101,0.0132244724448083,"H1e","Supported","*"
"BehIntent","PriceValue",0.504501982517781,0.126776189933046,3.97946951067249,6.90692169529328e-05,"H1f","Supported","***"
"BehIntent","Habit",0.0231629630212967,0.0482449284251363,0.480111874499713,0.631147845120966,"H1g","Not Supported","ns"
"BehIntent","AITrust",0.106297822780465,0.0571859462433247,1.85881024558325,0.0630540396997858,"H2","Not Supported","ns"
