"Item","Construct","Direction","Mean","SD","Skew","Kurt","ITC","Issues"
"PE1","PE","POSITIVE",3.63740458015267,1.13555130350452,-0.840405969982892,0.0974160479302673,0.732375525092581,"OK"
"PE2","PE","POSITIVE",3.37786259541985,1.18352613461463,-0.468672137399797,-0.626452871007058,0.732375525092581,"OK"
"EE1","EE","POSITIVE",3.70229007633588,1.05913039214441,-0.641217588124967,-0.147101810194869,0.731692838301517,"OK"
"EE2","EE","POSITIVE",3.59160305343511,1.06368391640263,-0.714700657571753,-0.0897830090796301,0.731692838301517,"OK"
"SI1","SI","POSITIVE",3.06488549618321,1.18077990098837,-0.152798795185293,-0.806990509748304,0.640249251200465,"OK"
"SI2","SI","POSITIVE",3.2824427480916,1.15652279180915,-0.25094471321189,-0.763844537038148,0.640249251200465,"OK"
"FC1","FC","POSITIVE",3.35114503816794,1.17720146175806,-0.323723938728086,-0.963315023085912,0.658675749411679,"OK"
"FC2","FC","POSITIVE",3.48473282442748,1.03472085431356,-0.610511217468216,-0.0826354248373407,0.658675749411679,"OK"
"HM1","HM","POSITIVE",3.27862595419847,1.19491307711169,-0.371732951488887,-0.740191912385137,0.839701336230407,"OK"
"HM2","HM","POSITIVE",3.33587786259542,1.21995343810965,-0.583008038346465,-0.566314278121446,0.839701336230407,"OK"
"PV1","PV","POSITIVE",3.38167938931298,1.19998732603253,-0.523301608251071,-0.640856373647459,0.779456804086925,"OK"
"PV2","PV","POSITIVE",3.41984732824427,1.18389058255733,-0.589197540209779,-0.522522515113006,0.779456804086925,"OK"
"HB1","HB","POSITIVE",3.0381679389313,1.36684652672754,-0.122335183014135,-1.27638530436086,0.844797738817131,"OK"
"HB2","HB","POSITIVE",2.97709923664122,1.34458271015355,-0.0715647480606494,-1.27834447834413,0.844797738817131,"OK"
"VO1","VO","POSITIVE",3.44274809160305,1.26648701293126,-0.610250631189169,-0.752814174833699,0.362406459558389,"OK"
"VO2","VO","POSITIVE",3.81297709923664,1.14107544530909,-0.988056201282924,0.272622473833989,0.362406459558389,"OK"
"TR1","TR","POSITIVE",3.12977099236641,1.20278697161164,-0.341244076668006,-0.847118047333672,0.815141976025389,"OK"
"TR2","TR","POSITIVE",3.29389312977099,1.18801523044476,-0.469911830182819,-0.637832297283259,0.815141976025389,"OK"
"EX1","EX","POSITIVE",3.24809160305344,1.19204586973883,-0.322296672807532,-0.899922038485226,0.368520406973682,"OK"
"EX2","EX","POSITIVE",3.85114503816794,0.965287673732332,-1.07588050768398,1.29758201279978,0.368520406973682,"SKEW"
"ER1","ER","NEGATIVE",3.12595419847328,1.33454472477143,-0.0661127894874555,-1.26555879049996,0.355267977257167,"OK"
"ER2","ER","NEGATIVE",3.8587786259542,1.03163525505131,-0.884998507906195,0.348994695500591,0.355267977257167,"OK"
"AX1","AX","NEGATIVE",3.61832061068702,1.13095094606655,-0.609987212473815,-0.457686144097397,0.272052556980737,"LOW_ITC"
"AX2","AX","NEGATIVE",3.11832061068702,1.23072426900458,-0.0650311332779092,-1.06890706907099,0.272052556980737,"LOW_ITC"
