"Metric","UTAUT2_Only","UTAUT2_Trust","Difference"
"chi2",244.627999997423,241.582299398253,-3.04570059917032
"df",85,84,-1
"chi2/df",2.87797647055792,2.87597975474111,-0.00199671581681438
"CFI",0.97931806221384,0.97958311002827,0.000265047814430042
"TLI",0.966908899542144,0.966944082902914,3.5183360769353e-05
"RMSEA",0.059923093965176,0.0598912295590103,-3.18644061657047e-05
"AIC",20457.1587310789,20456.1130304798,-1.04570059917387
"BIC",20746.8102706354,20750.0241515002,3.21388086488878
"LogLik",-10160.5793655395,-10159.0565152399,1.52285029958693
