Factor,Eigenvalue,Variance %,Cumulative %
1,12.845944325279728,53.524768021998895,53.524768021998895
2,2.313803179776853,9.640846582403558,63.16561460440245
3,1.4619534834505163,6.091472847710488,69.25708745211294
4,0.949249331748447,3.9552055489518643,73.21229300106481
5,0.7625706194910772,3.177377581212823,76.38967058227763
6,0.6414342326604017,2.672642636085008,79.06231321836263
7,0.5442907712691997,2.2678782136216666,81.3301914319843
8,0.5302115284290803,2.2092147017878356,83.53940613377213
9,0.49118540174894487,2.0466058406206047,85.58601197439273
10,0.41566258348018414,1.7319274311674349,87.31793940556017
11,0.38877008441306593,1.6198753517211086,88.93781475728127
12,0.37092598520005365,1.5455249383335576,90.48333969561483
13,0.34538102813493143,1.4390876172288816,91.92242731284371
14,0.3163919745090182,1.3182998937875763,93.24072720663129
15,0.25946404673162876,1.0811001947151204,94.32182740134641
16,0.23553324972773487,0.9813885405322291,95.30321594187863
17,0.21931879691415893,0.9138283204756625,96.21704426235429
18,0.18909743560533837,0.7879059816889102,97.0049502440432
19,0.1761665398204411,0.7340272492518383,97.73897749329504
20,0.15357171898096755,0.6398821624206985,98.37885965571574
21,0.127077975563112,0.5294915648463003,98.90835122056204
22,0.10448538074619226,0.43535575310913466,99.34370697367117
23,0.10104094895095438,0.4210039539623101,99.76471092763349
24,0.056469377367968865,0.23528907236653707,100.00000000000003
