adoption_status,predictor,n,r_squared,beta,se,t_value,p_value,ci_lower,ci_upper,significant
Non-Adopter,PE,53,0.6373163189620228,0.2177141515705718,0.114751976923331,1.897258395086585,0.06408159337580921,-0.07141933601604014,0.4831262481711306,False
Non-Adopter,EE,53,0.6373163189620228,0.08184081401110693,0.0922047053151203,0.8875991060478576,0.3793739891857144,,,False
Non-Adopter,SI,53,0.6373163189620228,0.057571728485940984,0.10155813187791282,0.56688447711061,0.5735486208076503,,,False
Non-Adopter,FC,53,0.6373163189620228,-0.02049432999764598,0.08543190197657692,-0.23989083145152218,0.8114806891937836,,,False
Non-Adopter,HM,53,0.6373163189620228,0.41457600022404856,0.15222771432312407,2.723393713604965,0.009100884484932514,0.0892416895332777,0.7670969207797637,True
Non-Adopter,PV,53,0.6373163189620228,0.054220215633658975,0.13954116060128907,0.3885607329050558,0.6993937846390734,,,False
Adopter,PE,428,0.7509264374858577,0.11894845469022976,0.04263492073661669,2.7899302411056612,0.005511415841037426,0.014480106084451501,0.23157259530084218,True
Adopter,EE,428,0.7509264374858577,-0.020477557318984818,0.03835795295274678,-0.5338542790385908,0.5937241118845242,,,False
Adopter,SI,428,0.7509264374858577,0.15596094085383808,0.0362521355793421,4.302117333542987,2.105390076190261e-05,0.06734056859443048,0.24391177141566892,True
Adopter,FC,428,0.7509264374858577,0.11301949318630812,0.03724406909988726,3.034563513540743,0.002558167127318045,0.02262175797769017,0.20881748496880664,True
Adopter,HM,428,0.7509264374858577,0.31458778265710835,0.03904620811150661,8.056807507625864,8.215650382226158e-15,0.2093080520740923,0.41394186380150955,True
Adopter,PV,428,0.7509264374858577,0.34578578161738194,0.04337657493400086,7.971717041825189,1.4876988529977098e-14,0.24362124029242319,0.4476279299600119,True
