Path,Coefficient,p-value,Mediation %
TR → BI,0.7928023631129658,2.4262475634020372e-48,
EX → BI,0.6293656217270917,1.8899918077379704e-25,
EX → TR,0.5679377707370143,5.1325645948690804e-20,
Indirect (EX→TR→BI),0.45026240674141477,,71.5422627479738
