Usage_Profile,PE,EE,SI,FC,HM,PV,HB,VO,TR,EX,ER,AX,BI
Non-User,2.0510204081632653,2.693877551020408,2.122448979591837,2.357142857142857,2.061224489795918,2.193877551020408,1.7346938775510203,1.846938775510204,2.0714285714285716,2.36734693877551,4.142857142857143,4.224489795918367,1.9183673469387754
Single-Tool,3.1869158878504673,3.7289719626168223,2.869158878504673,3.0841121495327104,3.1401869158878504,3.383177570093458,2.794392523364486,3.2429906542056073,3.205607476635514,3.177570093457944,3.869158878504673,3.7476635514018692,3.0303738317757007
Multi-Tool,3.7282608695652173,4.065217391304348,3.4166666666666665,3.5579710144927534,3.786231884057971,3.8115942028985508,3.4239130434782608,4.018115942028985,3.6956521739130435,3.670289855072464,3.7717391304347827,3.420289855072464,3.6385869565217392
