,PE,EE,SI,FC,HM,PV,HB,VO,TR,EX,ER,AX,BI
PE,1.0,0.7661561764232112,0.8700714291555077,0.8078982742863432,0.9020734607334163,0.9339947357175666,0.8609091960344378,0.8178553424844206,0.7963681042267485,0.9042279130032891,0.1948902825478526,0.6689776342289734,0.8842334147378208
EE,0.7661561764232112,1.0,0.6416539528955909,0.7689795940041124,0.6639490671232952,0.7400088076228772,0.777352256814716,0.8558869446392993,0.6181346074953452,0.9718822308581132,0.14950121320925086,0.43756379200524587,0.6279126921078285
SI,0.8700714291555077,0.6416539528955909,1.0,0.8483103880387447,0.829579725924137,0.790957417181536,0.7792216755255029,0.7269389018115292,0.791829092532326,0.8485278258485864,0.21376777868787364,0.6218680669040518,0.7969972207991937
FC,0.8078982742863432,0.7689795940041124,0.8483103880387447,1.0,0.7088689881870344,0.7055978975483669,0.7662579866600182,0.7699383978736982,0.7516908249684535,0.913398353123511,0.22706798837830774,0.4855811542638468,0.7102131977277837
HM,0.9020734607334163,0.6639490671232952,0.829579725924137,0.7088689881870344,1.0,0.9073412551030764,0.82001690987644,0.7150684755477036,0.8514319416514041,0.8848620112316153,0.23425293655404716,0.6665975367123471,0.9290046198044285
PV,0.9339947357175666,0.7400088076228772,0.790957417181536,0.7055978975483669,0.9073412551030764,1.0,0.837235103496885,0.8648293603420205,0.8196052286295363,0.8904273575795273,0.28487243471110085,0.6165764662141346,0.8935998129223145
HB,0.8609091960344378,0.777352256814716,0.7792216755255029,0.7662579866600182,0.82001690987644,0.837235103496885,1.0,0.8221736206049218,0.8247612280443946,0.8085025011329585,0.20829449411655515,0.5272954471597259,0.8298676355235123
VO,0.8178553424844206,0.8558869446392993,0.7269389018115292,0.7699383978736982,0.7150684755477036,0.8648293603420205,0.8221736206049218,1.0,0.7229288425211432,1.2524255797978414,0.385008679951027,0.745116366230621,0.5346865840898465
TR,0.7963681042267485,0.6181346074953452,0.791829092532326,0.7516908249684535,0.8514319416514041,0.8196052286295363,0.8247612280443946,0.7229288425211432,1.0,0.7507948196510911,0.29843962640506233,0.6515511589595349,0.881746366474934
EX,0.9042279130032891,0.9718822308581132,0.8485278258485864,0.913398353123511,0.8848620112316153,0.8904273575795273,0.8085025011329585,1.2524255797978414,0.7507948196510911,1.0,0.22903969349965045,0.7143194419879348,0.6503064598400354
ER,0.1948902825478526,0.14950121320925086,0.21376777868787364,0.22706798837830774,0.23425293655404716,0.28487243471110085,0.20829449411655515,0.385008679951027,0.29843962640506233,0.22903969349965045,1.0,1.549459282250333,0.20772547215515927
AX,0.6689776342289734,0.43756379200524587,0.6218680669040518,0.4855811542638468,0.6665975367123471,0.6165764662141346,0.5272954471597259,0.745116366230621,0.6515511589595349,0.7143194419879348,1.549459282250333,1.0,0.4983580836595819
BI,0.8842334147378208,0.6279126921078285,0.7969972207991937,0.7102131977277837,0.9290046198044285,0.8935998129223145,0.8298676355235123,0.5346865840898465,0.881746366474934,0.6503064598400354,0.20772547215515927,0.4983580836595819,1.0
