,PE,EE,SI,FC,HM,PV,HB,VO,TR,EX,ER,AX,BI
PE,1.0,0.6197113644428937,0.70857922357187,0.6617279209690949,0.7769985766989048,0.7975333972470361,0.7400575839521569,0.5726465522522609,0.6975198190666612,0.6197324652236276,-0.10375762803229094,-0.062084009280175496,0.8064031633080688
EE,0.6197113644428937,1.0,0.506879730002446,0.6129618013682554,0.5574791131971711,0.6166029172110956,0.6517036179039147,0.5548884554069475,0.5287345896994496,0.6441864533667055,-0.0935109510824603,-0.022819092629952912,0.5749382877341593
SI,0.70857922357187,0.506879730002446,1.0,0.6813189030936943,0.700527904716475,0.6626608612147824,0.6568352708192449,0.48394128615154275,0.6808789017166563,0.5703085356011759,-0.038525394777482916,-0.08149631315262505,0.7328142565320547
FC,0.6617279209690949,0.6129618013682554,0.6813189030936943,1.0,0.6009814493456846,0.5937085680503668,0.64946477572266,0.5154812655156069,0.6502861793819347,0.6188461647732666,-0.038047370337775624,-0.0359137614332247,0.6485018698556901
HM,0.7769985766989048,0.5574791131971711,0.700527904716475,0.6009814493456846,1.0,0.7984025056968033,0.7270207803626076,0.528328016517775,0.7668947745592499,0.650382291965955,-0.10693177096024944,-0.10528663443494105,0.8385908098022231
PV,0.7975333972470361,0.6166029172110956,0.6626608612147824,0.5937085680503668,0.7984025056968033,1.0,0.7368861172033561,0.6283047137672259,0.7320444885419022,0.6379818220999492,-0.19055576203331523,-0.10487822832012134,0.8074095637882586
HB,0.7400575839521569,0.6517036179039147,0.6568352708192449,0.64946477572266,0.7270207803626076,0.7368861172033561,1.0,0.6006769819919546,0.7432214563841781,0.590016736104627,-0.109643138501049,-0.07321982674455423,0.7492844594770556
VO,0.5726465522522609,0.5548884554069475,0.48394128615154275,0.5154812655156069,0.528328016517775,0.6283047137672259,0.6006769819919546,1.0,0.5473727466274273,0.5629795010194044,-0.04000779661366323,-0.036037826097001895,0.5561177853339928
TR,0.6975198190666612,0.5287345896994496,0.6808789017166563,0.6502861793819347,0.7668947745592499,0.7320444885419022,0.7432214563841781,0.5473727466274273,1.0,0.5679377707370138,-0.12429531677830684,-0.15295970854447993,0.792802363112965
EX,0.6197324652236276,0.6441864533667055,0.5703085356011759,0.6188461647732666,0.650382291965955,0.6379818220999492,0.590016736104627,0.5629795010194044,0.5679377707370138,1.0,-0.011568404757115715,0.011474823292685551,0.6293656217270909
ER,-0.10375762803229094,-0.0935109510824603,-0.038525394777482916,-0.038047370337775624,-0.10693177096024944,-0.19055576203331523,-0.109643138501049,-0.04000779661366323,-0.12429531677830684,-0.011568404757115715,1.0,0.6451005992449448,-0.11956191159896866
AX,-0.062084009280175496,-0.022819092629952912,-0.08149631315262505,-0.0359137614332247,-0.10528663443494105,-0.10487822832012134,-0.07321982674455423,-0.036037826097001895,-0.15295970854447993,0.011474823292685551,0.6451005992449448,1.0,-0.0901629355647215
BI,0.8064031633080688,0.5749382877341593,0.7328142565320547,0.6485018698556901,0.8385908098022231,0.8074095637882586,0.7492844594770556,0.5561177853339928,0.792802363112965,0.6293656217270909,-0.11956191159896866,-0.0901629355647215,1.0
