Metric,Model 1 (UTAUT2),Model 2 (AIRS)
Chi-square,212.55222620826999,595.1419419728991
df,107.0,272.0
CFI,0.9703919657533209,0.9349269771525303
TLI,0.9576632781332531,0.9095676373663839
RMSEA,0.06742360086102873,0.07399158768626715
AIC,126.04997957607091,262.5399821837349
BIC,342.6576635945726,716.0623205974728
