Construct,Items,B,SE,β,t,p,Sig
PE,"PE1, PE2",0.17736984312872772,0.05175326071701385,0.17559151216476349,3.4272206363688595,0.0007045149604822942,***
EE,"EE1, EE2",0.06647217281299123,0.043720664914689206,0.05944585076111782,1.5203833917598542,0.1295805031216708,
SI,"SI1, SI2",0.1530527896306114,0.0460368154451751,0.14629584393933293,3.3245737818872554,0.0010076589702920913,**
FC,"FC1, FC2",0.03547383735003966,0.044432896635597734,0.03281706371969138,0.7983687771015032,0.4253555886676581,
HM,"HM1, HM2",0.25109378587672093,0.0574824467354341,0.24878994393203804,4.368181943131143,1.785485983152313e-05,***
PV,"PV1, PV2",0.35591143580349816,0.05607365552540005,0.3381963010544342,6.347213008830477,9.182097304716308e-10,***
