Construct,Item,B,SE,β,t,p,Sig
PE,PE2,0.170179498513466,0.04071228555119019,0.1792973173442874,4.180052684575724,3.679149464153042e-05,***
EE,EE1,-0.008271314751666592,0.03362903013293659,-0.007253066713240606,-0.24595757650368835,0.8058580203424803,
SI,SI1,0.1629800373505132,0.03335781510758806,0.17009823691561016,4.885812719593837,1.5652155365142306e-06,***
FC,FC1,0.045587922935594695,0.028371595042383433,0.04730624252783769,1.606815650212557,0.10898889911901466,
HM,HM2,0.20604325713686258,0.040740609976323665,0.21828719762914212,5.0574416351793525,6.843247417620546e-07,***
PV,PV2,0.25333161372668345,0.04009175776432659,0.25970531664995133,6.318795379735045,7.947056346324644e-10,***
HB,HB2,0.08099401555781764,0.030047400029387803,0.09403406614217305,2.6955415602881314,0.007363803370402655,**
VO,VO1,0.08767085168903697,0.034212988095488416,0.09725309221302461,2.562502037072813,0.010806302023036007,*
