Role,Relationship,Correlation,p-value,n
Administrator,PE → BI,0.8075556826659588,1.3832073454775911e-12,50
IT Professional,PE → BI,0.7408659712387362,1.577423169729142e-07,37
Student,PE → BI,0.7353593896040157,1.37549840860945e-12,67
Administrator,HM → BI,0.7866509843534442,1.2740986712580781e-11,50
IT Professional,HM → BI,0.9272062366162581,1.700683420695677e-16,37
Student,HM → BI,0.8183116958618867,2.786754731908823e-17,67
