Metric,"Model 1
(UTAUT2)","Model 2
(Full AIRS)","Model 3
(Reduced AIRS)"
Chi-square,171.75140628363127,529.1438294209963,362.4326398439045
df,107.0,272.0,197.0
CFI,0.9809084941189226,0.9454548247105062,0.9573644327219905
TLI,0.9727009308429453,0.9241982490462182,0.9402669209709106
RMSEA,0.0550069690927233,0.06875251725618803,0.06479813242356089
AIC,126.29103078324745,262.7348872694428,202.39370507618005
BIC,337.7025448990283,705.3777449493589,542.6341106062648
