Model,Factors,χ²,df,CFI,TLI,RMSEA,AIC,BIC,Fit
2F,2,630.8,251,0.866,0.853,0.102,89.4,235.6,Poor
3F,3,599.2,249,0.877,0.863,0.098,93.8,246.0,Poor
4F,4,577.6,246,0.883,0.869,0.096,100.1,261.2,Poor
5F,5,560.9,242,0.888,0.872,0.095,108.3,281.4,Poor
6F,6,551.3,237,0.889,0.871,0.096,118.4,306.4,Poor
