Factor,Eigenvalue,Variance %,Cumulative %
1,9.712063064720287,40.46692943633454,40.46692943633454
2,2.0793134282603707,8.663805951084882,49.13073538741942
3,1.6868201240693195,7.0284171836221665,56.15915257104159
4,1.4436113617792337,6.015047340746809,62.1741999117884
5,1.0056144998246774,4.190060415936157,66.36426032772455
6,0.9068199672759721,3.7784165303165516,70.1426768580411
7,0.8578294817594107,3.5742895073308785,73.71696636537197
8,0.7149118583410023,2.9787994097541777,76.69576577512615
9,0.6988059148002882,2.911691311667868,79.60745708679401
10,0.6318281749071849,2.6326173954466046,82.24007448224062
11,0.565377787960429,2.355740783168455,84.59581526540907
12,0.5319252788125843,2.2163553283857684,86.81217059379485
13,0.45824210176673785,1.9093420906947416,88.72151268448958
14,0.4234418562819393,1.7643410678414142,90.485853752331
15,0.3854731800232339,1.6061382500968082,92.0919920024278
16,0.33895260510820946,1.4123025212842064,93.504294523712
17,0.3080415041333154,1.2835062672221478,94.78780079093416
18,0.2674054316986177,1.1141892987442408,95.90199008967839
19,0.23061449623950583,0.9608937343312746,96.86288382400967
20,0.18501050190866666,0.7708770912861114,97.63376091529578
21,0.1723239492298077,0.718016455124199,98.35177737041998
22,0.15038189657448697,0.6265912357270292,98.97836860614701
23,0.12704408479907417,0.5293503533294759,99.50771895947649
24,0.11814744972564344,0.49228104052351446,100.0
