Factor,Eigenvalue,Variance %,Cumulative %
1,8.034968021753336,50.21855013595836,50.21855013595836
2,2.3792068313376076,14.87004269586005,65.0885928318184
3,0.9253357372164803,5.7833483576030025,70.8719411894214
4,0.777586156553732,4.859913478460825,75.73185466788223
5,0.6630438637279009,4.144024148299382,79.87587881618161
6,0.520657995123184,3.254112469519901,83.12999128570151
7,0.4993795508853534,3.121122193033459,86.25111347873496
8,0.39901040889658346,2.493815055603647,88.74492853433861
9,0.35688381025259347,2.2305238140787096,90.97545234841732
10,0.3004773017718569,1.877983136074106,92.85343548449143
11,0.24812585920346247,1.5507866200216407,94.40422210451307
12,0.2261599140948656,1.4134994630929103,95.81772156760597
13,0.2145686061810064,1.34105378863129,97.15877535623726
14,0.18793029745662312,1.1745643591038948,98.33333971534115
15,0.14346501684291474,0.8966563552682173,99.22999607060937
16,0.12320062870249951,0.770003929390622,100.0
