"","PerfExp","EffortExp","SocialInf","FacilCond","HedonicMot","PriceValue","Habit","AITrust"
"PerfExp",1,0.7156,0.8011,0.7328,0.9109,0.8985,0.8274,0.8108
"EffortExp",0.7156,1,0.5155,0.7103,0.6029,0.6828,0.6112,0.6735
"SocialInf",0.8011,0.5155,1,0.7113,0.7723,0.7834,0.6874,0.7245
"FacilCond",0.7328,0.7103,0.7113,1,0.7005,0.6719,0.6373,0.7081
"HedonicMot",0.9109,0.6029,0.7723,0.7005,1,0.898,0.7864,0.8427
"PriceValue",0.8985,0.6828,0.7834,0.6719,0.898,1,0.7902,0.8345
"Habit",0.8274,0.6112,0.6874,0.6373,0.7864,0.7902,1,0.8175
"AITrust",0.8108,0.6735,0.7245,0.7081,0.8427,0.8345,0.8175,1
