Factor,M_Academic,SD_Academic,M_Professional,SD_Professional,t,p,Cohen's d,Effect,Sig
PerfExp,3.45959595959596,1.0414670628633809,3.4634920634920636,1.0903896322398001,-0.040081923629154095,0.9680434679418872,-0.0036351251450410537,negligible,
EffortExp,3.7954545454545454,0.903928002082454,3.533333333333333,0.995851266617124,3.006093840476473,0.002776397767219323,0.272629812106143,small,**
SocialInf,2.967171717171717,0.9519859449587829,3.3190476190476192,1.0672986829453714,-3.7875355423259642,0.0001702432835226173,-0.3435006217523792,small,***
FacilCond,3.388888888888889,0.9345471922790891,3.315873015873016,1.0403034756278073,0.8044044365220353,0.42153751274079776,0.07295335476007297,negligible,
HedonicMot,3.1136363636363638,1.1291998465698216,3.414285714285714,1.1211426642142306,-2.9486577196547836,0.003337679679350164,-0.2674207934730983,small,**
PriceValue,3.388888888888889,1.155555013232551,3.43968253968254,1.074981807361936,-0.5060498360593195,0.6130399031177804,-0.04589486524456904,negligible,
Habit,3.1085858585858586,1.259311317795943,2.958730158730159,1.252339838169296,1.3165811584271572,0.18856924051797072,0.11940388187868121,negligible,
AITrust,3.1464646464646466,1.0693053042836567,3.273015873015873,1.1864691434713612,-1.2211082629949375,0.22260813399930304,-0.1107452175374543,negligible,
