,F1,F2,Construct,Communality
PE1,0.795043532157396,0.03133092869112903,PE,0.6330758451179569
PE2,0.8147941173587472,-0.04883645064445688,PE,0.6662744525939683
EE1,0.6375408351406493,0.04378138343819741,EE,0.408375126007599
SI1,0.7635507599292952,-0.013438948673532762,SI,0.583190368330054
SI2,0.624749444366916,0.04654851259861754,SI,0.392478632261914
FC1,0.6269603578083887,0.1320001508289093,FC,0.41050333008207757
FC2,0.7361771954112812,0.04436661138091327,FC,0.5439252592490448
HM1,0.7956712244989983,-0.09257641319609466,HM,0.6416630897759894
HM2,0.8305936228801395,-0.08016953141843743,HM,0.6963129201370072
PV1,0.8290948047960164,-0.07678864232778038,PV,0.6932946909302884
PV2,0.810885384343748,-0.11337987749085668,PV,0.6703901031621496
HB1,0.8037758659809864,0.0008414546007414656,HB,0.6460563507793297
HB2,0.7728260789283031,-0.0015360583125341594,HB,0.5972625077468353
VO1,0.7967081605614331,-0.04432712841675149,VO,0.6367087874188575
TR1,0.7671653061845172,-0.10124642600720993,TR,0.5987934457924173
EX1,0.6046169932158199,0.03046993831171673,EX,0.3664901256260586
EX2,0.5442101801766105,0.09056750411387786,EX,0.3043671930092761
ER1,0.0894497778828404,0.6199899638332561,ER,0.39238881801725173
ER2,-0.19083633708616343,0.603954549823581,ER,0.4011796058050682
AX1,-0.3782944320689121,0.6458150276289389,AX,0.560183727245708
AX2,0.26804014603556375,0.44575755315850557,AX,0.27054531608462423
