Predictor,Beta_Unstd,SE,Beta_Std,z,p,Sig,Hypothesis,Support
PerfExp,0.010979784896841104,0.11543038132822127,0.009512773055814612,0.09512040738755392,0.9242191888179585,,H1,✗ Not supported
EffortExp,-0.01126569763566472,0.06306835722639324,-0.009225513010245016,-0.1786267810215006,0.858230764472387,,H1,✗ Not supported
SocialInf,0.14944283495970814,0.06598279790675739,0.14540582884917122,2.264875690341156,0.023520308941830104,*,H1,✓ Supported
FacilCond,0.0706640761973504,0.07967152031969027,0.057226856666165435,0.8869427357957202,0.3751097316246468,,H1,✗ Not supported
HedonicMot,0.20817929461719084,0.10580200983014632,0.20303535502644382,1.967630812981721,0.049110531726379136,*,H1,✓ Supported
PriceValue,0.5119300873389182,0.13191230957750938,0.49864898274607505,3.8808363599919913,0.00010409786721266023,***,H1,✓ Supported
Habit,-0.008926703684573838,0.043519828837728904,-0.010095148972564747,-0.2051180788844224,0.8374798718265364,,H1,✗ Not supported
AITrust,0.10932249667670915,0.055293500754806005,0.1121710072574418,1.9771310404361955,0.048026819929803954,*,H2,✓ Supported
