Item,Construct,Primary_Factor,Primary_Loading,Secondary_Loading,Communality,Status
PE1,PE,F1,0.795043532157396,0.03133092869112903,0.6330758451179569,✓ Good
PE2,PE,F1,0.8147941173587472,0.04883645064445688,0.6662744525939683,✓ Good
EE1,EE,F1,0.6375408351406493,0.04378138343819741,0.408375126007599,✓ Good
SI1,SI,F1,0.7635507599292952,0.013438948673532762,0.583190368330054,✓ Good
SI2,SI,F1,0.624749444366916,0.04654851259861754,0.392478632261914,⚠️ Low communality (0.39)
FC1,FC,F1,0.6269603578083887,0.1320001508289093,0.41050333008207757,✓ Good
FC2,FC,F1,0.7361771954112812,0.04436661138091327,0.5439252592490448,✓ Good
HM1,HM,F1,0.7956712244989983,0.09257641319609466,0.6416630897759894,✓ Good
HM2,HM,F1,0.8305936228801395,0.08016953141843743,0.6963129201370072,✓ Good
PV1,PV,F1,0.8290948047960164,0.07678864232778038,0.6932946909302884,✓ Good
PV2,PV,F1,0.810885384343748,0.11337987749085668,0.6703901031621496,✓ Good
HB1,HB,F1,0.8037758659809864,0.0008414546007414656,0.6460563507793297,✓ Good
HB2,HB,F1,0.7728260789283031,0.0015360583125341594,0.5972625077468353,✓ Good
VO1,VO,F1,0.7967081605614331,0.04432712841675149,0.6367087874188575,✓ Good
TR1,TR,F1,0.7671653061845172,0.10124642600720993,0.5987934457924173,✓ Good
EX1,EX,F1,0.6046169932158199,0.03046993831171673,0.3664901256260586,⚠️ Low communality (0.37)
EX2,EX,F1,0.5442101801766105,0.09056750411387786,0.3043671930092761,⚠️ Low communality (0.30)
ER1,ER,F2,0.6199899638332561,0.0894497778828404,0.39238881801725173,⚠️ Low communality (0.39)
ER2,ER,F2,0.603954549823581,0.19083633708616343,0.4011796058050682,✓ Good
AX1,AX,F2,0.6458150276289389,0.3782944320689121,0.560183727245708,✓ Good
AX2,AX,F2,0.44575755315850557,0.26804014603556375,0.27054531608462423,⚠️ Low primary (0.45); Low communality (0.27)
