Model,Paths,χ²,df,CFI,TLI,RMSEA,AIC,BIC,χ²/df
UTAUT Core (4 predictors),4,278.7242685465438,88,0.9748574599779087,0.9611433472385862,0.06506188810776527,128.91335567818112,404.5312856142811,3.167321233483452
Hedonic-Value (4 predictors),4,258.21099652684165,88,0.977561655761014,0.9653225589033853,0.06146352878217955,128.99332944823843,404.61125938433844,2.9342158696232006
Parsimonious (4 sig predictors),4,244.750034073837,88,0.979336169249988,0.9680649888408904,0.058983087936333584,129.04580883402014,404.6637387701201,2.7812503872026935
UTAUT2-Only (7 predictors),7,247.00610698580041,85,0.9786432788037163,0.9658292460859459,0.061012841243042626,135.03701322812555,423.37577069973787,2.905954199832946
Full AIRS (8 predictors),8,243.51273120876866,84,0.9789719721616296,0.9659546215950193,0.06090080763618491,137.0506326268664,429.62966594364946,2.8989610858186743
