Factor,Eigenvalue,Variance %,Cumulative %
1,10.230463782910247,48.71649420433449,48.71649420433449
2,1.959501979609895,9.330961807666162,58.04745601200065
3,1.1367053981754232,5.412882848454393,63.460338860455046
4,0.9678816914516881,4.608960435484226,68.06929929593927
5,0.7266609612381458,3.4602902916102165,71.5295895875495
6,0.688062367656536,3.276487465031122,74.80607705258062
7,0.6276176305841916,2.988655383734244,77.79473243631486
8,0.5645721708939557,2.6884389090188354,80.4831713453337
9,0.5055440422009453,2.407352581909262,82.89052392724297
10,0.4954266661201191,2.3591746005719947,85.24969852781496
11,0.4094085344550934,1.9495644497861582,87.19926297760111
12,0.387780416920223,1.8465734139058232,89.04583639150694
13,0.35328073546732575,1.682289216511074,90.72812560801802
14,0.328128557064345,1.562516938401642,92.29064254641966
15,0.30672977509574423,1.4606179766464005,93.75126052306607
16,0.28529021718999464,1.3585248437618787,95.10978536682795
17,0.25753604143160735,1.2263621020552724,96.33614746888323
18,0.25127103364651043,1.196528731650049,97.53267620053327
19,0.2068785012414661,0.9851357201974571,98.51781192073074
20,0.16601132478910352,0.7905301180433496,99.30834203877409
21,0.1452481718574532,0.6916579612259672,100.00000000000006
