Predictor,Beta_Unstd,SE,Beta_Std,z,p,Sig,Hypothesis,Support
PerfExp,-0.03170499964091278,0.119604651927017,-0.027941738341962636,-0.2650816597021597,0.7909465555370827,,H1a,Not Supported
EffortExp,-0.009360116328228293,0.05928959937142391,-0.007742571438147775,-0.157871134692464,0.8745583439699787,,H1b,Not Supported
SocialInf,0.13867660286133326,0.061484553340786306,0.1355764139977074,2.2554706072710613,0.024103805196073358,*,H1c,Supported
FacilCond,0.07197672370701608,0.07515231583282145,0.05868029585086092,0.9577445872344165,0.3381915674585536,,H1d,Not Supported
HedonicMot,0.21959901431870915,0.08915016550017706,0.21666972319336128,2.4632485322562077,0.013768443977077105,*,H1e,Supported
PriceValue,0.5175355829534068,0.1330727897958811,0.504668787459808,3.889116503435819,0.0001006098147726675,***,H1f,Supported
Habit,0.02048483196375994,0.04266970144282522,0.02316672524708813,0.4800791022924863,0.6311711472241954,,H1g,Not Supported
AITrust,0.10319794367865746,0.05563891778886106,0.10626458138949725,1.8547798515829101,0.06362767039137651,,H2,Not Supported
