,EE,FC,HB,HM,PE,PV,SI,TR
EE,1.0,0.7103129910876128,0.6113859884773478,0.6028900683180578,0.7155647692011918,0.682865348548257,0.5154962436629489,0.6735002448594898
FC,0.7103129910876128,1.0,0.6376281878003351,0.700398060869024,0.7327561168968786,0.6719023876813749,0.7111902511825241,0.7079555652157038
HB,0.6113859884773478,0.6376281878003351,1.0,0.7863447022475425,0.8275001215283505,0.7902964372189326,0.6874117194261925,0.8175204735969481
HM,0.6028900683180578,0.700398060869024,0.7863447022475425,1.0,0.9108655770219992,0.8980145193368758,0.7721707139850547,0.8426919865782417
PE,0.7155647692011918,0.7327561168968786,0.8275001215283505,0.9108655770219992,1.0,0.8983926724521536,0.8009362205413221,0.810695127423848
PV,0.682865348548257,0.6719023876813749,0.7902964372189326,0.8980145193368758,0.8983926724521536,1.0,0.7833555589515697,0.8344821881818044
SI,0.5154962436629489,0.7111902511825241,0.6874117194261925,0.7721707139850547,0.8009362205413221,0.7833555589515697,1.0,0.7243782386998195
TR,0.6735002448594898,0.7079555652157038,0.8175204735969481,0.8426919865782417,0.810695127423848,0.8344821881818044,0.7243782386998195,1.0
