Factor,N_Items,Alpha,CR,AVE
PE,2,0.8029567113666294,,
EE,2,0.858774861248105,,
SI,2,0.7517293889672745,,
FC,2,0.7430775976860298,,
HM,2,0.8636032443291701,,
PV,2,0.8826641165006224,,
HB,2,0.9087274409995378,,
TR,2,0.8906149320224743,,
