Predictor,β_Academic,β_Professional,Δβ,z_diff,p_diff,Moderation
PerfExp,-0.10729126804703629,-0.11284026930626007,-0.005549001259223779,-0.031830195082603006,0.9746074666373981,
EffortExp,-0.09268876206762744,0.10264881472407392,0.19533757679170136,1.5203324164093226,0.12842745076793505,
SocialInf,0.22293442432250493,0.11258822293736954,-0.11034620138513539,-0.8702665830515365,0.3841547364335398,
FacilCond,0.09707233224962596,-0.012025570256799225,-0.10909790250642518,-0.8159844946860292,0.41450900389454226,
HedonicMot,0.06910489962441481,0.4332458488132655,0.3641409491888507,1.4872725070459005,0.1369428527031682,
PriceValue,0.6959706162586788,0.39832613753664176,-0.2976444787220371,-0.9628146113464693,0.33564056683658405,
Habit,0.035673304795342795,0.04265079740452505,0.006977492609182255,0.020950696716390996,0.9832849853524854,
AITrust,0.08134636744596606,0.04897052533902049,-0.032375842106945565,-0.23336602007295765,0.8154771968316306,
