Model,Paths,chi2,df,CFI,TLI,RMSEA,AIC,BIC,chi2/df
UTAUT Core (4 predictors),4,282.7393692335311,88.0,0.9747689158265167,0.961006506277344,0.06511038928189693,128.91877870273984,405.7915738669599,3.2129473776537623
Hedonic-Value (4 predictors),4,254.3232643032183,88.0,0.9784506014466414,0.9666963840539003,0.060172757267344,129.0274444959724,405.9002396601924,2.8900370943547533
Parsimonious (4 sig predictors),4,242.77580259750124,88.0,0.9799467292169723,0.9690085815171392,0.05804635382808788,129.07160304934035,405.94439821356036,2.7588159386079685
UTAUT2-Only (7 predictors),7,244.6286830763164,85.0,0.9793179737869494,0.966908758059119,0.05998059243561681,135.06451746433532,424.7160570207501,2.877984506780193
Full AIRS (8 predictors),8,241.58267323925892,84.0,0.9795830616663123,0.9669440046026008,0.05994864029833619,137.07616568550952,430.9872867059892,2.875984205229273
