Factor,Item,Loading,SE
PE1,PE,0.798208483540008,-
PE2,PE,0.8420162068981398,0.07391430154897287
EE1,EE,0.8309989456711816,-
EE2,EE,0.9059879111362608,0.07525092041312793
SI1,SI,0.8759485727671291,-
SI2,SI,0.6884269526793143,0.0667030961877098
FC1,FC,0.7175854376498887,-
FC2,FC,0.8290889366984113,0.09461665701276467
HM1,HM,0.8385826661001573,-
HM2,HM,0.9065765538159097,0.06022814285940989
PV1,PV,0.8883084419466645,-
PV2,PV,0.8894301275861393,0.04849024013598575
HB1,HB,0.9050042105531859,-
HB2,HB,0.9202816958119062,0.047074624111415504
TR1,TR,0.8752663492774212,-
TR2,TR,0.9171185399783964,0.05136684521917098
