Predictor,a (X->Trust),b (Trust->BI),c_prime (Direct),ab (Indirect),a sig,b sig,c_prime sig
PerfExp,1.0852351188010019,0.1058445074353146,1.026017664131566,0.11486617660099716,*,,*
EffortExp,1.4858073769947182,0.14281130267467929,1.3450238144893516,0.21219008703226402,*,*,*
SocialInf,1.0705525388209889,-0.0019546860808242633,1.1268450132190122,-0.002092594146424464,*,,*
FacilCond,1.3783161034353004,0.08625345727521731,1.3256019968027901,0.11888452913940069,*,,*
HedonicMot,0.9532336362833977,-0.0029802607888822085,1.0010335962619452,-0.002840884828859015,*,,*
PriceValue,0.9520815596945758,0.031190027566305702,0.9753343556121625,0.029695450092245147,*,,*
Habit,0.9292544501116773,0.02635505112256445,0.9424963463261377,0.02449054853856377,*,,*
