Metric,UTAUT2-Only,UTAUT2+Trust,Difference
chi2,244.6286830763164,241.58267323925892,-3.0460098370574826
df,85.0,84.0,-1.0
chi2/df,2.877984506780193,2.875984205229273,-0.002000301550920014
CFI,0.9793179737869494,0.9795830616663123,0.0002650878793628575
TLI,0.966908758059119,0.9669440046026008,3.524654348174838e-05
RMSEA,0.05998059243561681,0.05994864029833619,-3.1952137280626125e-05
AIC,135.06451746433532,137.07616568550952,2.011648221174198
BIC,424.7160570207501,430.9872867059892,6.2712296852391205
LogLik,0.46774126783234493,0.46191715724523696,-0.005824110587107967
