Predictor,β_Academic,p_Acad,Sig_Acad,β_Professional,p_Prof,Sig_Prof,Δβ,z_diff,p_diff,Moderation
PerfExp,-0.1844789486907407,0.370204078015006,,0.08356681720942513,0.5656203974974752,,0.2680457659001658,1.0644458437096644,0.2871267754407887,
EffortExp,0.07344086849971194,0.2708867865587199,,-0.05499585065211475,0.5068187781052778,,-0.1284367191518267,-1.1923294562089743,0.23313208891494863,
SocialInf,0.006572744862036411,0.9326713788854089,,0.23898352217471075,0.08021554268222442,,0.23241077731267434,1.510886994907722,0.13081724485440405,
FacilCond,-0.015658821145526598,0.8332496717266544,,0.14070770844730449,0.1948576704143583,,0.1563665295928311,1.122864315835757,0.2614951248505133,
HedonicMot,0.448963440915617,0.0011335664863660888,**,-0.3006061375446382,0.38363708415889564,,-0.7495695784602552,-2.0414209151997076,0.04120900729300736,✓
PriceValue,0.6377048395848449,0.0045684099406482215,**,0.8078097504915955,0.04123066074491888,*,0.17010491090675062,0.47191304330227296,0.6369888576369114,
Habit,0.07523740814930811,0.3363582859135654,,-0.06433653551082684,0.5118051854085297,,-0.13957394366013495,-1.0962893726575715,0.27295215866314915,
AITrust,-0.01087145101445801,0.9298887184822613,,0.1532036918306659,0.0473067573058541,*,0.16407514284512392,1.0631909123747223,0.2876953827319517,
