Predictor,Beta_Unstd,SE,Beta_Std,z,p,Sig,Hypothesis,Support
PerfExp,-0.031704999660392176,0.11960465192861296,-0.027941738359124182,-0.2650816598614874,0.7909465554143464,,H1,✗ Not supported
EffortExp,-0.009360116326671858,0.059289599371757214,-0.007742571436835228,-0.1578711346653251,0.8745583439913642,,H1,✗ Not supported
SocialInf,0.13867660286166766,0.06148455334101432,0.13557641399805948,2.255470607268136,0.024103805196256767,*,H1,✓ Supported
FacilCond,0.07197672371322086,0.07515231583321874,0.05868029585599315,0.9577445873119161,0.33819156741946443,,H1,✗ Not supported
HedonicMot,0.21959901433123588,0.08915016549979399,0.21666972320555336,2.463248532407305,0.013768443971274191,*,H1,✓ Supported
PriceValue,0.5175355829555666,0.1330727897966887,0.5046687874624703,3.8891165034284456,0.00010060981477577613,***,H1,✓ Supported
Habit,0.020484831972475838,0.04266970144268632,0.02316672525692826,0.48007910249831337,0.6311711470778445,,H1,✗ Not supported
AITrust,0.10319794366651612,0.05563891778925797,0.10626458137689142,1.8547798513514622,0.06362767042444095,,H2,✗ Not supported
