Model,Paths,χ²,df,CFI,TLI,RMSEA,AIC,BIC,χ²/df
UTAUT Core (4 predictors),4,282.7393692335311,88,0.9747689158265167,0.961006506277344,0.06511038928189693,128.91877870273984,405.7915738669599,3.2129473776537623
Hedonic-Value (4 predictors),4,254.32326430321925,88,0.9784506014466413,0.9666963840539001,0.06017275726734417,129.0274444959724,405.9002396601924,2.890037094354764
Parsimonious (4 sig predictors),4,242.77580259750215,88,0.9799467292169722,0.969008581517139,0.05804635382808805,129.07160304934033,405.94439821356036,2.758815938607979
UTAUT2-Only (7 predictors),7,244.62868307632104,85,0.9793179737869487,0.966908758059118,0.05998059243561768,135.0645174643353,424.71605702075004,2.8779845067802476
Full AIRS (8 predictors),8,241.5826732392608,84,0.9795830616663119,0.9669440046026003,0.05994864029833654,137.07616568550952,430.9872867059892,2.875984205229295
