Factor,M_Academic,SD_Academic,M_Professional,SD_Professional,t,p,Cohen's d,Effect,Sig
PerfExp,3.4837962962962963,1.0558657574931976,3.456026058631922,1.0968707000608877,0.2894980185678039,0.7723154636088115,0.02570989936568391,negligible,
EffortExp,3.8078703703703702,0.9220215917624387,3.529315960912052,0.9987511096000962,3.2408469508348285,0.0012679132321173168,0.28781491969359374,small,**
SocialInf,2.9953703703703702,0.9740716996922032,3.2996742671009773,1.0716641012177845,-3.318629354167422,0.0009678532077970944,-0.29472266217831017,small,***
FacilCond,3.4143518518518516,0.9441755583188898,3.3029315960912053,1.0429147214516854,1.2504272711715758,0.2117048114148544,0.11104863330316171,negligible,
HedonicMot,3.1689814814814814,1.138301827644259,3.4218241042345277,1.1298443679361136,-2.5120858017485848,0.012303141350740968,-0.22309469847301502,small,*
PriceValue,3.4166666666666665,1.1553716808586891,3.436482084690554,1.0846694635999614,-0.20022179591654823,0.8413852504767243,-0.017781407448995402,negligible,
Habit,3.138888888888889,1.2599987695330526,2.9381107491856677,1.2430514113358089,1.808532465011287,0.07110006318448396,0.16061314652529218,negligible,
AITrust,3.178240740740741,1.0888178600996619,3.252442996742671,1.1870566496115798,-0.7281081621516151,0.4668744835050401,-0.06466223039750006,negligible,
