Factor,Item,Loading,SE,z,p,Construct,Sig
Facilitators,PE1,0.7837743794342832,-,-,-,PE,(fixed)
Facilitators,PE2,0.8057812578365944,0.07608267940896,14.507815088734816,0.0,PE,***
Facilitators,EE1,0.5859326015984005,0.06912495518397421,9.848134892340983,0.0,EE,***
Facilitators,EE2,0.6445628685072761,0.0707130377478012,11.001727614199595,0.0,EE,***
Facilitators,SI1,0.7867363396582687,0.07460435788898215,14.062635920337398,0.0,SI,***
Facilitators,SI2,0.6145632082553549,0.07378358080329903,10.404813945757624,0.0,SI,***
Facilitators,FC1,0.6276810577816033,0.07674513505928077,10.66403965564431,0.0,FC,***
Facilitators,FC2,0.7072258601615109,0.06363913349706307,12.299209994967084,0.0,FC,***
Facilitators,HM1,0.8455146062183161,0.07279528631154554,15.469096355523549,0.0,HM,***
Facilitators,HM2,0.8601414554391128,0.07547832479184301,15.834846457048187,0.0,HM,***
Facilitators,PV1,0.8551850237114079,0.07273246786476605,15.710159902387439,0.0,PV,***
Facilitators,PV2,0.8431600683618514,0.07210381701003979,15.410838443265465,0.0,PV,***
Facilitators,HB1,0.8366043453718699,0.0796312884591174,15.24951541090082,0.0,HB,***
Facilitators,HB2,0.823704268988905,0.08071858878841559,14.935792101214112,0.0,HB,***
Facilitators,VO1,0.814131506138874,0.08096984365199954,14.706089312217294,0.0,VO,***
Facilitators,VO2,0.19140719462572858,0.07417192974010568,3.027718270294993,0.0024640769256736306,VO,**
Facilitators,TR1,0.7832108616156773,0.07504284263814823,13.98126764463837,0.0,TR,***
Facilitators,TR2,0.8061655609255465,0.07208716141898534,14.51689816371985,0.0,TR,***
Facilitators,EX1,0.6161327140934196,0.07751131931178833,10.435687357642836,0.0,EX,***
Facilitators,EX2,0.5059899420178734,0.06304909881578785,8.3525447840099,0.0,EX,***
Inhibitors,ER1,0.36781764832594493,-,-,-,ER,(fixed)
Inhibitors,ER2,0.5824005426258706,0.22786365688574642,5.5296029209597695,3.209564525263886e-08,ER,***
Inhibitors,AX1,1.0,0.47600520028866333,5.1282855341812885,2.923927391318415e-07,AX,***
Inhibitors,AX2,0.09689644303697997,0.16685006030743857,1.5095758582641443,0.13115168534728028,AX,
