Item,Construct,Primary_Factor,Primary_Loading,Secondary_Loading,Communality,Status
PE1,PE,F1,0.7778658184709788,0.040075540602197306,0.6066812805000842,✓ Good
PE2,PE,F1,0.8178361159473493,0.13592907625579065,0.6873326263195987,✓ Good
EE1,EE,F1,0.6820924544974282,0.012080477658917343,0.4653960544227937,✓ Good
EE2,EE,F1,0.6699202899826782,0.07356136792577894,0.4542044697815874,✓ Good
SI1,SI,F1,0.7201576704593836,0.0029293987894930883,0.518635651698754,✓ Good
SI2,SI,F1,0.5950871269947209,0.015047906417803217,0.35435512820239,⚠️ Low communality (0.35)
FC1,FC,F1,0.5658102537646934,0.11357966258503989,0.3330415830181983,⚠️ Low communality (0.33)
FC2,FC,F1,0.7309570658580025,0.004589632438862365,0.5343192968536641,✓ Good
HM1,HM,F1,0.7590607083790473,0.09638902934022407,0.5854640039820517,✓ Good
HM2,HM,F1,0.8225780783105033,0.08911610522378688,0.6845763751272577,✓ Good
PV1,PV,F1,0.8198560262123975,0.05776531262758946,0.6755007350597466,✓ Good
PV2,PV,F1,0.8122980940274673,0.07169804698739853,0.6649688035024633,✓ Good
HB1,HB,F1,0.7625117134011659,0.017266957058679762,0.581722260880048,✓ Good
HB2,HB,F1,0.7347467911872467,0.027691558820891082,0.5406196695898864,✓ Good
VO1,VO,F1,0.8054437313140123,0.0174815732487319,0.6490452097162895,✓ Good
VO2,VO,F1,0.25731521046364086,0.17116485635700637,0.09550852558766242,⚠️ Low primary (0.26); Low communality (0.10)
TR1,TR,F1,0.808371639709415,0.1096738591105753,0.6654930632586945,✓ Good
TR2,TR,F1,0.8367316579195601,0.06229437578929343,0.7040004566197934,✓ Good
EX1,EX,F1,0.585124827887983,0.09886041833104833,0.35214444652353166,⚠️ Low communality (0.35)
EX2,EX,F1,0.5788739263890713,0.12869431040462678,0.3516572481836224,⚠️ Low communality (0.35)
ER1,ER,F2,0.6324962016284622,0.05446430470422473,0.4030178055613469,✓ Good
ER2,ER,F2,0.6349893376507922,0.196043485522225,0.44164450714589465,✓ Good
AX1,AX,F2,0.6197766634532629,0.39655400352936115,0.5413781902764236,✓ Good
AX2,AX,F2,0.5538498063117959,0.19800198881809267,0.345954395527534,⚠️ Low communality (0.35)
